18767414	0.02032	-0.00063	-0.00028	0.00013	-0.02035	-0.03335	-0.00957	-0.00006	-0.00003	0.00001	-0.00079	-0.00129	-0.00037	-0.00037	-0.00129	-0.00079	-9.58662	-0.36066	0.47254
18788439	0.02024	-0.00101	0.00021	0.00007	-0.01859	0.02433	-0.00280	-0.00014	-0.00000	0.00002	-0.00208	0.00058	-0.00055	-0.00055	0.00058	-0.00208	-9.62385	-0.28853	0.51035
18808548	0.02078	-0.00059	0.00028	0.00008	0.02013	0.00319	0.00053	-0.00019	0.00002	0.00002	0.00017	0.00084	-0.00044	-0.00044	0.00084	0.00017	-9.62385	-0.32460	0.51035
18829947	0.02016	-0.00057	0.00034	0.00008	0.00086	0.00284	-0.00013	-0.00024	0.00006	0.00003	0.00026	0.00109	-0.00040	-0.00040	0.00109	0.00026	-9.58662	-0.32460	0.51035
18850087	0.02019	-0.00060	0.00037	0.00006	-0.00102	0.00153	-0.00063	-0.00031	0.00012	0.00004	0.00008	0.00115	-0.00043	-0.00043	0.00115	0.00008	-9.62385	-0.25246	0.51035
18870209	0.02063	0.00016	0.00042	0.00012	0.03664	0.00246	0.00285	-0.00024	0.00019	0.00006	0.00569	0.00136	0.00007	0.00007	0.00136	0.00569	-9.62385	-0.32460	0.54815
18890315	0.02013	0.00008	0.00006	0.00014	-0.00397	-0.01791	0.00080	-0.00017	0.00018	0.00008	0.00413	-0.00177	0.00019	0.00019	-0.00177	0.00413	-9.58662	-0.28853	0.51035
18910483	0.02013	0.00037	0.00012	0.00015	0.01442	0.00300	0.00062	-0.00003	0.00018	0.00011	0.00587	-0.00097	0.00026	0.00026	-0.00097	0.00587	-9.58662	-0.32460	0.51035
18930625	0.02017	0.00024	0.00019	0.00014	-0.00671	0.00381	-0.00042	0.00007	0.00020	0.00013	0.00370	-0.00014	0.00015	0.00015	-0.00014	0.00370	-9.54939	-0.32460	0.51035
18951159	0.02015	0.00009	0.00019	0.00012	-0.00702	-0.00000	-0.00138	0.00011	0.00021	0.00013	0.00181	-0.00012	-0.00012	-0.00012	-0.00012	0.00181	-9.58662	-0.32460	0.51035
18971278	0.02030	0.00001	0.00024	0.00009	-0.00414	0.00216	-0.00128	0.00012	0.00023	0.00013	0.00075	0.00029	-0.00033	-0.00033	0.00029	0.00075	-9.58662	-0.36066	0.54815
18991616	0.02015	-0.00042	-0.00009	0.00006	-0.02147	-0.01629	-0.00135	-0.00002	0.00015	0.00012	-0.00325	-0.00270	-0.00051	-0.00051	-0.00270	-0.00325	-9.58662	-0.32460	0.51035
19011710	0.02013	-0.00048	0.00001	0.00008	-0.00298	0.00477	0.00102	-0.00015	0.00010	0.00011	-0.00322	-0.00135	-0.00024	-0.00024	-0.00135	-0.00322	-9.54939	-0.32460	0.51035
